irun CODIGOINE beta time recover
7 11 0.28999999999999998 23 0
7 12 0.28999999999999998 23 0
7 13 0.28999999999999998 23 0
7 14 0.28999999999999998 23 0
7 15 0.28999999999999998 23 0
7 16 0.28999999999999998 23 0
7 17 0.28999999999999998 23 0
7 18 0.28999999999999998 23 0
7 19 0.28999999999999998 23 0
7 20 0.28999999999999998 23 0
7 21 0.28999999999999998 23 0
7 22 0.28999999999999998 23 0
7 23 0.28999999999999998 23 0
7 24 0.28999999999999998 23 0
7 25 0.28999999999999998 23 0
7 26 0.28999999999999998 23 0
7 27 0.28999999999999998 23 0
7 28 0.28999999999999998 23 0
7 29 0.28999999999999998 23 0
7 30 0.28999999999999998 23 0
7 31 0.28999999999999998 23 0
7 32 0.28999999999999998 23 0
7 33 0.28999999999999998 23 0
7 34 0.28999999999999998 23 0
7 35 0.28999999999999998 23 0
7 36 0.28999999999999998 23 0
7 37 0.28999999999999998 23 0
7 38 0.28999999999999998 23 0
7 39 0.28999999999999998 23 0
7 40 0.28999999999999998 23 0
7 41 0.28999999999999998 23 0
7 42 0.28999999999999998 23 0
7 43 0.28999999999999998 23 4
7 44 0.28999999999999998 23 0
7 45 0.28999999999999998 23 0
7 46 0.28999999999999998 23 0
7 47 0.28999999999999998 23 0
7 48 0.28999999999999998 23 0
7 49 0.28999999999999998 23 0
7 50 0.28999999999999998 23 0
7 51 0.28999999999999998 23 0
7 52 0.28999999999999998 23 0
7 53 0.28999999999999998 23 0
7 54 0.28999999999999998 23 0
7 55 0.28999999999999998 23 0
7 56 0.28999999999999998 23 0
7 57 0.28999999999999998 23 0
7 58 0.28999999999999998 23 0
7 59 0.28999999999999998 23 0
7 60 0.28999999999999998 23 0
7 61 0.28999999999999998 23 0
7 62 0.28999999999999998 23 0
7 63 0.28999999999999998 23 0
7 64 0.28999999999999998 23 0
7 65 0.28999999999999998 23 0
7 66 0.28999999999999998 23 0
7 67 0.28999999999999998 23 0
7 1 0.28999999999999998 24 0
7 2 0.28999999999999998 24 0
7 3 0.28999999999999998 24 0
7 4 0.28999999999999998 24 0
7 5 0.28999999999999998 24 0
7 6 0.28999999999999998 24 0
7 7 0.28999999999999998 24 0
7 8 0.28999999999999998 24 0
7 9 0.28999999999999998 24 0
7 10 0.28999999999999998 24 0
7 11 0.28999999999999998 24 0
7 12 0.28999999999999998 24 0
7 13 0.28999999999999998 24 0
7 14 0.28999999999999998 24 0
7 15 0.28999999999999998 24 0
7 16 0.28999999999999998 24 0
7 17 0.28999999999999998 24 0
7 18 0.28999999999999998 24 0
7 19 0.28999999999999998 24 0
7 20 0.28999999999999998 24 0
7 21 0.28999999999999998 24 0
7 22 0.28999999999999998 24 0
7 23 0.28999999999999998 24 0
7 24 0.28999999999999998 24 0
7 25 0.28999999999999998 24 0
7 26 0.28999999999999998 24 0
7 27 0.28999999999999998 24 0
7 28 0.28999999999999998 24 0
7 29 0.28999999999999998 24 0
7 30 0.28999999999999998 24 0
7 31 0.28999999999999998 24 0
7 32 0.28999999999999998 24 0
7 33 0.28999999999999998 24 0
7 34 0.28999999999999998 24 0
7 35 0.28999999999999998 24 0
7 36 0.28999999999999998 24 0
7 37 0.28999999999999998 24 0
7 38 0.28999999999999998 24 0
7 39 0.28999999999999998 24 0
7 40 0.28999999999999998 24 0
7 41 0.28999999999999998 24 0
7 42 0.28999999999999998 24 0
7 43 0.28999999999999998 24 4
7 44 0.28999999999999998 24 0
7 45 0.28999999999999998 24 0
7 46 0.28999999999999998 24 0
7 47 0.28999999999999998 24 0
7 48 0.28999999999999998 24 0
7 49 0.28999999999999998 24 0
7 50 0.28999999999999998 24 0
7 51 0.28999999999999998 24 0
7 52 0.28999999999999998 24 0
7 53 0.28999999999999998 24 0
7 54 0.28999999999999998 24 0
7 55 0.28999999999999998 24 0
7 56 0.28999999999999998 24 0
7 57 0.28999999999999998 24 0
7 58 0.28999999999999998 24 0
7 59 0.28999999999999998 24 0
7 60 0.28999999999999998 24 0
7 61 0.28999999999999998 24 0
7 62 0.28999999999999998 24 0
7 63 0.28999999999999998 24 0
7 64 0.28999999999999998 24 0
7 65 0.28999999999999998 24 0
7 66 0.28999999999999998 24 0
7 67 0.28999999999999998 24 0
7 1 0.28999999999999998 25 0
7 2 0.28999999999999998 25 0
7 3 0.28999999999999998 25 0
7 4 0.28999999999999998 25 0
7 5 0.28999999999999998 25 0
7 6 0.28999999999999998 25 0
7 7 0.28999999999999998 25 0
7 8 0.28999999999999998 25 0
7 9 0.28999999999999998 25 0
7 10 0.28999999999999998 25 0
7 11 0.28999999999999998 25 0
7 12 0.28999999999999998 25 0
7 13 0.28999999999999998 25 0
7 14 0.28999999999999998 25 0
7 15 0.28999999999999998 25 0
7 16 0.28999999999999998 25 0
7 17 0.28999999999999998 25 0
7 18 0.28999999999999998 25 0
7 19 0.28999999999999998 25 0
7 20 0.28999999999999998 25 0
7 21 0.28999999999999998 25 0
7 22 0.28999999999999998 25 0
7 23 0.28999999999999998 25 0
7 24 0.28999999999999998 25 0
7 25 0.28999999999999998 25 0
7 26 0.28999999999999998 25 0
7 27 0.28999999999999998 25 0
7 28 0.28999999999999998 25 0
7 29 0.28999999999999998 25 0
7 30 0.28999999999999998 25 0
7 31 0.28999999999999998 25 0
7 32 0.28999999999999998 25 0
7 33 0.28999999999999998 25 0
7 34 0.28999999999999998 25 0
7 35 0.28999999999999998 25 0
7 36 0.28999999999999998 25 0
7 37 0.28999999999999998 25 0
7 38 0.28999999999999998 25 0
7 39 0.28999999999999998 25 0
7 40 0.28999999999999998 25 0
7 41 0.28999999999999998 25 0
7 42 0.28999999999999998 25 0
7 43 0.28999999999999998 25 6
7 44 0.28999999999999998 25 0
7 45 0.28999999999999998 25 0
7 46 0.28999999999999998 25 0
7 47 0.28999999999999998 25 0
7 48 0.28999999999999998 25 0
7 49 0.28999999999999998 25 0
7 50 0.28999999999999998 25 0
7 51 0.28999999999999998 25 0
7 52 0.28999999999999998 25 0
7 53 0.28999999999999998 25 0
7 54 0.28999999999999998 25 0
7 55 0.28999999999999998 25 0
7 56 0.28999999999999998 25 0
7 57 0.28999999999999998 25 0
7 58 0.28999999999999998 25 0
7 59 0.28999999999999998 25 0
7 60 0.28999999999999998 25 0
7 61 0.28999999999999998 25 0
7 62 0.28999999999999998 25 0
7 63 0.28999999999999998 25 0
7 64 0.28999999999999998 25 0
7 65 0.28999999999999998 25 0
7 66 0.28999999999999998 25 0
7 67 0.28999999999999998 25 0
7 1 0.28999999999999998 26 0
7 2 0.28999999999999998 26 0
7 3 0.28999999999999998 26 0
7 4 0.28999999999999998 26 0
7 5 0.28999999999999998 26 0
7 6 0.28999999999999998 26 0
7 7 0.28999999999999998 26 0
7 8 0.28999999999999998 26 0
7 9 0.28999999999999998 26 0
7 10 0.28999999999999998 26 0
7 11 0.28999999999999998 26 0
7 12 0.28999999999999998 26 0
7 13 0.28999999999999998 26 0
7 14 0.28999999999999998 26 0
7 15 0.28999999999999998 26 0
7 16 0.28999999999999998 26 0
7 17 0.28999999999999998 26 0
7 18 0.28999999999999998 26 0
7 19 0.28999999999999998 26 0
7 20 0.28999999999999998 26 0
7 21 0.28999999999999998 26 0
7 22 0.28999999999999998 26 0
7 23 0.28999999999999998 26 0
7 24 0.28999999999999998 26 0
7 25 0.28999999999999998 26 0
7 26 0.28999999999999998 26 0
7 27 0.28999999999999998 26 0
7 28 0.28999999999999998 26 0
7 29 0.28999999999999998 26 0
7 30 0.28999999999999998 26 0
7 31 0.28999999999999998 26 0
7 32 0.28999999999999998 26 0
7 33 0.28999999999999998 26 0
7 34 0.28999999999999998 26 0
7 35 0.28999999999999998 26 0
7 36 0.28999999999999998 26 0
7 37 0.28999999999999998 26 0
7 38 0.28999999999999998 26 0
7 39 0.28999999999999998 26 0
7 40 0.28999999999999998 26 0
7 41 0.28999999999999998 26 0
7 42 0.28999999999999998 26 0
7 43 0.28999999999999998 26 6
7 44 0.28999999999999998 26 0
7 45 0.28999999999999998 26 0
7 46 0.28999999999999998 26 0
7 47 0.28999999999999998 26 0
7 48 0.28999999999999998 26 0
7 49 0.28999999999999998 26 0
7 50 0.28999999999999998 26 0
7 51 0.28999999999999998 26 0
7 52 0.28999999999999998 26 0
7 53 0.28999999999999998 26 0
7 54 0.28999999999999998 26 0
7 55 0.28999999999999998 26 0
7 56 0.28999999999999998 26 0
7 57 0.28999999999999998 26 0
7 58 0.28999999999999998 26 0
7 59 0.28999999999999998 26 0
7 60 0.28999999999999998 26 0
7 61 0.28999999999999998 26 0
7 62 0.28999999999999998 26 0
7 63 0.28999999999999998 26 0
7 64 0.28999999999999998 26 0
7 65 0.28999999999999998 26 0
7 66 0.28999999999999998 26 0
7 67 0.28999999999999998 26 0
7 1 0.28999999999999998 27 0
7 2 0.28999999999999998 27 0
7 3 0.28999999999999998 27 0
7 4 0.28999999999999998 27 0
7 5 0.28999999999999998 27 0
7 6 0.28999999999999998 27 0
7 7 0.28999999999999998 27 0
7 8 0.28999999999999998 27 0
7 9 0.28999999999999998 27 0
7 10 0.28999999999999998 27 0
7 11 0.28999999999999998 27 0
7 12 0.28999999999999998 27 0
7 13 0.28999999999999998 27 0
7 14 0.28999999999999998 27 0
7 15 0.28999999999999998 27 0
7 16 0.28999999999999998 27 0
7 17 0.28999999999999998 27 0
7 18 0.28999999999999998 27 0
7 19 0.28999999999999998 27 0
7 20 0.28999999999999998 27 0
7 21 0.28999999999999998 27 0
7 22 0.28999999999999998 27 0
7 23 0.28999999999999998 27 0
7 24 0.28999999999999998 27 0
7 25 0.28999999999999998 27 0
7 26 0.28999999999999998 27 0
7 27 0.28999999999999998 27 0
7 28 0.28999999999999998 27 0
7 29 0.28999999999999998 27 0
7 30 0.28999999999999998 27 0
7 31 0.28999999999999998 27 0
7 32 0.28999999999999998 27 0
7 33 0.28999999999999998 27 0
7 34 0.28999999999999998 27 0
7 35 0.28999999999999998 27 0
7 36 0.28999999999999998 27 0
7 37 0.28999999999999998 27 0
7 38 0.28999999999999998 27 0
7 39 0.28999999999999998 27 0
7 40 0.28999999999999998 27 0
7 41 0.28999999999999998 27 0
7 42 0.28999999999999998 27 0
7 43 0.28999999999999998 27 6
7 44 0.28999999999999998 27 0
7 45 0.28999999999999998 27 0
7 46 0.28999999999999998 27 0
7 47 0.28999999999999998 27 0
7 48 0.28999999999999998 27 0
7 49 0.28999999999999998 27 0
7 50 0.28999999999999998 27 0
7 51 0.28999999999999998 27 0
7 52 0.28999999999999998 27 0
7 53 0.28999999999999998 27 0
7 54 0.28999999999999998 27 0
7 55 0.28999999999999998 27 0
7 56 0.28999999999999998 27 0
7 57 0.28999999999999998 27 0
7 58 0.28999999999999998 27 0
7 59 0.28999999999999998 27 0
7 60 0.28999999999999998 27 0
7 61 0.28999999999999998 27 0
7 62 0.28999999999999998 27 0
7 63 0.28999999999999998 27 0
7 64 0.28999999999999998 27 0
7 65 0.28999999999999998 27 0
7 66 0.28999999999999998 27 0
7 67 0.28999999999999998 27 0
7 1 0.28999999999999998 28 0
7 2 0.28999999999999998 28 0
7 3 0.28999999999999998 28 0
7 4 0.28999999999999998 28 0
7 5 0.28999999999999998 28 0
7 6 0.28999999999999998 28 0
7 7 0.28999999999999998 28 0
7 8 0.28999999999999998 28 0
7 9 0.28999999999999998 28 0
7 10 0.28999999999999998 28 0
7 11 0.28999999999999998 28 0
7 12 0.28999999999999998 28 0
7 13 0.28999999999999998 28 0
7 14 0.28999999999999998 28 0
7 15 0.28999999999999998 28 0
7 16 0.28999999999999998 28 0
7 17 0.28999999999999998 28 0
7 18 0.28999999999999998 28 0
7 19 0.28999999999999998 28 0
7 20 0.28999999999999998 28 0
7 21 0.28999999999999998 28 0
7 22 0.28999999999999998 28 0
7 23 0.28999999999999998 28 0
7 24 0.28999999999999998 28 0
7 25 0.28999999999999998 28 0
7 26 0.28999999999999998 28 0
7 27 0.28999999999999998 28 0
7 28 0.28999999999999998 28 0
7 29 0.28999999999999998 28 0
7 30 0.28999999999999998 28 0
7 31 0.28999999999999998 28 0
7 32 0.28999999999999998 28 0
7 33 0.28999999999999998 28 0
7 34 0.28999999999999998 28 0
7 35 0.28999999999999998 28 0
7 36 0.28999999999999998 28 0
7 37 0.28999999999999998 28 0
7 38 0.28999999999999998 28 0
7 39 0.28999999999999998 28 0
7 40 0.28999999999999998 28 0
7 41 0.28999999999999998 28 0
7 42 0.28999999999999998 28 0
7 43 0.28999999999999998 28 8
7 44 0.28999999999999998 28 0
7 45 0.28999999999999998 28 0
7 46 0.28999999999999998 28 0
7 47 0.28999999999999998 28 0
7 48 0.28999999999999998 28 0
7 49 0.28999999999999998 28 0
7 50 0.28999999999999998 28 0
7 51 0.28999999999999998 28 0
7 52 0.28999999999999998 28 0
7 53 0.28999999999999998 28 0
7 54 0.28999999999999998 28 0
7 55 0.28999999999999998 28 0
7 56 0.28999999999999998 28 0
7 57 0.28999999999999998 28 0
7 58 0.28999999999999998 28 0
7 59 0.28999999999999998 28 0
7 60 0.28999999999999998 28 0
7 61 0.28999999999999998 28 0
7 62 0.28999999999999998 28 0
7 63 0.28999999999999998 28 0
7 64 0.28999999999999998 28 0
7 65 0.28999999999999998 28 0
7 66 0.28999999999999998 28 0
7 67 0.28999999999999998 28 0
7 1 0.28999999999999998 29 0
7 2 0.28999999999999998 29 0
7 3 0.28999999999999998 29 0
7 4 0.28999999999999998 29 0
7 5 0.28999999999999998 29 0
7 6 0.28999999999999998 29 0
7 7 0.28999999999999998 29 0
7 8 0.28999999999999998 29 0
7 9 0.28999999999999998 29 0
7 10 0.28999999999999998 29 0
7 11 0.28999999999999998 29 0
7 12 0.28999999999999998 29 0
7 13 0.28999999999999998 29 0
7 14 0.28999999999999998 29 0
7 15 0.28999999999999998 29 0
7 16 0.28999999999999998 29 0
7 17 0.28999999999999998 29 0
7 18 0.28999999999999998 29 0
7 19 0.28999999999999998 29 0
7 20 0.28999999999999998 29 0
7 21 0.28999999999999998 29 0
7 22 0.28999999999999998 29 0
7 23 0.28999999999999998 29 0
7 24 0.28999999999999998 29 0
7 25 0.28999999999999998 29 0
7 26 0.28999999999999998 29 0
7 27 0.28999999999999998 29 0
7 28 0.28999999999999998 29 0
7 29 0.28999999999999998 29 0
7 30 0.28999999999999998 29 0
7 31 0.28999999999999998 29 0
7 32 0.28999999999999998 29 0
7 33 0.28999999999999998 29 0
7 34 0.28999999999999998 29 0
7 35 0.28999999999999998 29 0
7 36 0.28999999999999998 29 0
7 37 0.28999999999999998 29 0
7 38 0.28999999999999998 29 0
7 39 0.28999999999999998 29 0
7 40 0.28999999999999998 29 0
7 41 0.28999999999999998 29 0
7 42 0.28999999999999998 29 0
7 43 0.28999999999999998 29 10
7 44 0.28999999999999998 29 0
7 45 0.28999999999999998 29 0
7 46 0.28999999999999998 29 0
7 47 0.28999999999999998 29 0
7 48 0.28999999999999998 29 0
7 49 0.28999999999999998 29 0
7 50 0.28999999999999998 29 0
7 51 0.28999999999999998 29 0
7 52 0.28999999999999998 29 0
7 53 0.28999999999999998 29 0
7 54 0.28999999999999998 29 0
7 55 0.28999999999999998 29 0
7 56 0.28999999999999998 29 0
7 57 0.28999999999999998 29 0
7 58 0.28999999999999998 29 0
7 59 0.28999999999999998 29 0
7 60 0.28999999999999998 29 0
7 61 0.28999999999999998 29 0
7 62 0.28999999999999998 29 0
7 63 0.28999999999999998 29 0
7 64 0.28999999999999998 29 0
7 65 0.28999999999999998 29 0
7 66 0.28999999999999998 29 0
7 67 0.28999999999999998 29 0
7 1 0.28999999999999998 30 0
7 2 0.28999999999999998 30 0
7 3 0.28999999999999998 30 0
7 4 0.28999999999999998 30 0
7 5 0.28999999999999998 30 0
7 6 0.28999999999999998 30 0
7 7 0.28999999999999998 30 0
7 8 0.28999999999999998 30 0
7 9 0.28999999999999998 30 0
7 10 0.28999999999999998 30 0
7 11 0.28999999999999998 30 0
7 12 0.28999999999999998 30 0
7 13 0.28999999999999998 30 0
7 14 0.28999999999999998 30 0
7 15 0.28999999999999998 30 0
7 16 0.28999999999999998 30 0
7 17 0.28999999999999998 30 0
7 18 0.28999999999999998 30 0
7 19 0.28999999999999998 30 0
7 20 0.28999999999999998 30 0
7 21 0.28999999999999998 30 0
7 22 0.28999999999999998 30 0
7 23 0.28999999999999998 30 0
7 24 0.28999999999999998 30 0
7 25 0.28999999999999998 30 0
7 26 0.28999999999999998 30 0
7 27 0.28999999999999998 30 0
7 28 0.28999999999999998 30 0
7 29 0.28999999999999998 30 0
7 30 0.28999999999999998 30 0
7 31 0.28999999999999998 30 0
7 32 0.28999999999999998 30 0
7 33 0.28999999999999998 30 0
7 34 0.28999999999999998 30 0
7 35 0.28999999999999998 30 0
7 36 0.28999999999999998 30 0
7 37 0.28999999999999998 30 0
7 38 0.28999999999999998 30 0
7 39 0.28999999999999998 30 0
7 40 0.28999999999999998 30 0
7 41 0.28999999999999998 30 0
7 42 0.28999999999999998 30 0
7 43 0.28999999999999998 30 12
7 44 0.28999999999999998 30 0
7 45 0.28999999999999998 30 0
7 46 0.28999999999999998 30 0
7 47 0.28999999999999998 30 0
7 48 0.28999999999999998 30 0
7 49 0.28999999999999998 30 0
7 50 0.28999999999999998 30 0
7 51 0.28999999999999998 30 0
7 52 0.28999999999999998 30 0
7 53 0.28999999999999998 30 0
7 54 0.28999999999999998 30 0
7 55 0.28999999999999998 30 0
7 56 0.28999999999999998 30 0
7 57 0.28999999999999998 30 0
7 58 0.28999999999999998 30 0
7 59 0.28999999999999998 30 0
7 60 0.28999999999999998 30 0
7 61 0.28999999999999998 30 0
7 62 0.28999999999999998 30 0
7 63 0.28999999999999998 30 0
7 64 0.28999999999999998 30 0
7 65 0.28999999999999998 30 0
7 66 0.28999999999999998 30 0
7 67 0.28999999999999998 30 0
7 1 0.28999999999999998 31 0
7 2 0.28999999999999998 31 0
7 3 0.28999999999999998 31 0
7 4 0.28999999999999998 31 0
7 5 0.28999999999999998 31 0
7 6 0.28999999999999998 31 0
7 7 0.28999999999999998 31 0
7 8 0.28999999999999998 31 0
7 9 0.28999999999999998 31 0
7 10 0.28999999999999998 31 0
7 11 0.28999999999999998 31 0
7 12 0.28999999999999998 31 0
7 13 0.28999999999999998 31 0
7 14 0.28999999999999998 31 0
7 15 0.28999999999999998 31 0
7 16 0.28999999999999998 31 0
7 17 0.28999999999999998 31 0
7 18 0.28999999999999998 31 0
7 19 0.28999999999999998 31 0
7 20 0.28999999999999998 31 0
7 21 0.28999999999999998 31 0
7 22 0.28999999999999998 31 0
7 23 0.28999999999999998 31 0
7 24 0.28999999999999998 31 0
7 25 0.28999999999999998 31 0
7 26 0.28999999999999998 31 0
7 27 0.28999999999999998 31 0
7 28 0.28999999999999998 31 0
7 29 0.28999999999999998 31 0
7 30 0.28999999999999998 31 0
7 31 0.28999999999999998 31 0
7 32 0.28999999999999998 31 0
7 33 0.28999999999999998 31 0
7 34 0.28999999999999998 31 0
7 35 0.28999999999999998 31 0
7 36 0.28999999999999998 31 0
7 37 0.28999999999999998 31 0
7 38 0.28999999999999998 31 0
7 39 0.28999999999999998 31 0
7 40 0.28999999999999998 31 0
7 41 0.28999999999999998 31 0
7 42 0.28999999999999998 31 0
7 43 0.28999999999999998 31 18
7 44 0.28999999999999998 31 0
7 45 0.28999999999999998 31 0
7 46 0.28999999999999998 31 0
7 47 0.28999999999999998 31 0
7 48 0.28999999999999998 31 0
7 49 0.28999999999999998 31 0
7 50 0.28999999999999998 31 0
7 51 0.28999999999999998 31 0
7 52 0.28999999999999998 31 0
7 53 0.28999999999999998 31 0
7 54 0.28999999999999998 31 0
7 55 0.28999999999999998 31 0
7 56 0.28999999999999998 31 0
7 57 0.28999999999999998 31 0
7 58 0.28999999999999998 31 0
7 59 0.28999999999999998 31 0
7 60 0.28999999999999998 31 0
7 61 0.28999999999999998 31 0
7 62 0.28999999999999998 31 0
7 63 0.28999999999999998 31 0
7 64 0.28999999999999998 31 0
7 65 0.28999999999999998 31 0
7 66 0.28999999999999998 31 0
7 67 0.28999999999999998 31 0
7 1 0.28999999999999998 32 0
7 2 0.28999999999999998 32 0
7 3 0.28999999999999998 32 0
7 4 0.28999999999999998 32 0
7 5 0.28999999999999998 32 0
7 6 0.28999999999999998 32 0
7 7 0.28999999999999998 32 0
7 8 0.28999999999999998 32 0
7 9 0.28999999999999998 32 0
7 10 0.28999999999999998 32 0
7 11 0.28999999999999998 32 0
7 12 0.28999999999999998 32 0
7 13 0.28999999999999998 32 0
7 14 0.28999999999999998 32 0
7 15 0.28999999999999998 32 0
7 16 0.28999999999999998 32 0
7 17 0.28999999999999998 32 0
7 18 0.28999999999999998 32 1
7 19 0.28999999999999998 32 0
7 20 0.28999999999999998 32 0
7 21 0.28999999999999998 32 0
7 22 0.28999999999999998 32 0
7 23 0.28999999999999998 32 0
7 24 0.28999999999999998 32 0
7 25 0.28999999999999998 32 0
7 26 0.28999999999999998 32 0
7 27 0.28999999999999998 32 0
7 28 0.28999999999999998 32 0
7 29 0.28999999999999998 32 0
7 30 0.28999999999999998 32 0
7 31 0.28999999999999998 32 0
7 32 0.28999999999999998 32 0
7 33 0.28999999999999998 32 0
7 34 0.28999999999999998 32 0
7 35 0.28999999999999998 32 0
7 36 0.28999999999999998 32 0
7 37 0.28999999999999998 32 0
7 38 0.28999999999999998 32 0
7 39 0.28999999999999998 32 0
7 40 0.28999999999999998 32 0
7 41 0.28999999999999998 32 0
7 42 0.28999999999999998 32 0
7 43 0.28999999999999998 32 22
7 44 0.28999999999999998 32 0
7 45 0.28999999999999998 32 0
7 46 0.28999999999999998 32 0
7 47 0.28999999999999998 32 0
7 48 0.28999999999999998 32 0
7 49 0.28999999999999998 32 0
7 50 0.28999999999999998 32 0
7 51 0.28999999999999998 32 0
7 52 0.28999999999999998 32 0
7 53 0.28999999999999998 32 0
7 54 0.28999999999999998 32 0
7 55 0.28999999999999998 32 0
7 56 0.28999999999999998 32 0
7 57 0.28999999999999998 32 0
7 58 0.28999999999999998 32 0
7 59 0.28999999999999998 32 0
7 60 0.28999999999999998 32 0
7 61 0.28999999999999998 32 0
7 62 0.28999999999999998 32 0
7 63 0.28999999999999998 32 0
7 64 0.28999999999999998 32 0
7 65 0.28999999999999998 32 0
7 66 0.28999999999999998 32 0
7 67 0.28999999999999998 32 0
7 1 0.28999999999999998 33 0
7 2 0.28999999999999998 33 0
7 3 0.28999999999999998 33 0
7 4 0.28999999999999998 33 0
7 5 0.28999999999999998 33 0
7 6 0.28999999999999998 33 0
